trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",30,18,-30.4511124604209,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",25,15,-2.493428797911897,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",25,9,-23.568010255047422,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",25,13,-12.502349098869281,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",20,0,-14.559604523120768,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,0,-141.8939846439023,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",30,0,-16.062398356476105,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,10,-6.656805005227286,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",25,0,-81.6391505883457,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",30,0,-50.66956356592047,"{0: 24, 1: 4, 2: 0, 3: 1, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",35,20,-29.26228344662661,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,11,14.77448567029378,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",30,0,-15.17900326787384,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,5,-24.18138016564552,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",20,2,-26.94795734162839,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
