trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.5, 'e': 0.7959999999999998}",20,0,-70.02783220593098,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.7939999999999998}",30,0,-189.46815112646806,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
104,False,"{'a': 0.5, 'e': 0.7919999999999998}",25,0,-112.07788969884396,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,-63.53546274247468,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.7879999999999998}",25,0,-16.971239756093222,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.7859999999999998}",25,0,-195.15564670023085,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
108,False,"{'a': 0.5, 'e': 0.7839999999999998}",25,0,-112.26780256561668,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.7819999999999998}",20,0,-83.34490302915428,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,3,-79.76993875331821,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.7779999999999998}",25,0,-90.02759113050568,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.7759999999999998}",25,0,-94.02410465016284,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.7739999999999998}",25,0,-145.98065760259422,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.7719999999999998}",25,0,-60.077154758053595,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,2,-69.11731005740889,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.7679999999999998}",25,0,-155.5338062443299,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.7659999999999998}",30,0,-148.5555699306347,"{0: 21, 1: 4, 2: 1, 3: 1, 4: 3}",0
118,False,"{'a': 0.5, 'e': 0.7639999999999998}",25,0,-63.287064711166174,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.7619999999999998}",30,15,-49.537822637749215,"{0: 8, 1: 4, 2: 2, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-54.147400319746936,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.7579999999999998}",30,0,-28.485939018057877,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.7559999999999998}",25,0,-17.12276269581238,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.7539999999999998}",20,0,-89.65408731696238,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.7519999999999998}",20,0,-94.49241587218707,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-80.21982200135557,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.7479999999999998}",20,0,-28.4004453340248,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
